epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,51.842,0.62955,1.18478,1.0777,0.89651,0.40973,0.81186,0.50247,1.86195,1.67434,1.50742,2.82082e-05,2.82082e-05,2.82082e-05
40,53.1779,0.96446,0.96265,1.25576,0.89651,0.40973,0.81186,0.50247,1.86195,1.67434,1.50742,2.84911e-05,2.84911e-05,2.84911e-05
41,54.564,0.6754,0.85075,1.03305,0.89382,0.41015,0.7299,0.42819,1.86491,1.71084,1.5168,2.87504e-05,2.87504e-05,2.87504e-05
42,55.8792,0.94402,1.72099,1.35903,0.89382,0.41015,0.7299,0.42819,1.86491,1.71084,1.5168,2.89861e-05,2.89861e-05,2.89861e-05
43,57.2283,0.94069,1.42669,1.2863,0.89071,0.41068,0.65157,0.3988,1.85677,1.74687,1.52663,2.91983e-05,2.91983e-05,2.91983e-05
44,58.5325,1.16066,1.18933,1.49685,0.89071,0.41068,0.65157,0.3988,1.85677,1.74687,1.52663,2.93869e-05,2.93869e-05,2.93869e-05
45,59.8756,0.70269,1.06447,1.09022,0.88803,0.41124,0.63302,0.40484,1.86877,1.75338,1.53446,2.9552e-05,2.9552e-05,2.9552e-05
46,61.2067,0.82687,1.12376,1.31245,0.88803,0.41124,0.63302,0.40484,1.86877,1.75338,1.53446,2.96935e-05,2.96935e-05,2.96935e-05
47,62.501,0.87284,1.96903,1.29748,0.88517,0.41294,0.64039,0.42342,1.87094,1.75572,1.53927,2.98114e-05,2.98114e-05,2.98114e-05
48,63.7665,0.9229,1.6904,1.29824,0.88517,0.41294,0.64039,0.42342,1.87094,1.75572,1.53927,2.99058e-05,2.99058e-05,2.99058e-05
49,65.1552,0.76236,1.00994,1.30024,0.88247,0.41518,0.69583,0.43773,1.86957,1.75665,1.54365,2.99766e-05,2.99766e-05,2.99766e-05
50,66.468,0.88604,1.00466,1.31557,0.88247,0.41518,0.69583,0.43773,1.86957,1.75665,1.54365,3.00238e-05,3.00238e-05,3.00238e-05
51,67.7344,0.90246,0.99972,1.20527,0.88685,0.41667,0.69557,0.43234,1.85639,1.74703,1.54329,3.00475e-05,3.00475e-05,3.00475e-05
52,69.0068,1.08455,1.03742,1.4365,0.88685,0.41667,0.69557,0.43234,1.85639,1.74703,1.54329,3.00476e-05,3.00476e-05,3.00476e-05
53,70.3204,0.60612,0.82218,1.1718,0.88685,0.41667,0.69557,0.43234,1.85639,1.74703,1.54329,3.00242e-05,3.00242e-05,3.00242e-05
54,71.6417,0.84077,0.9967,1.2906,0.88069,0.41667,0.69876,0.40691,1.83599,1.74596,1.52905,2.99772e-05,2.99772e-05,2.99772e-05
55,72.9033,0.72234,1.05488,1.07348,0.88069,0.41667,0.69876,0.40691,1.83599,1.74596,1.52905,2.99066e-05,2.99066e-05,2.99066e-05
56,74.2439,1.18396,2.11356,1.68811,0.88069,0.41667,0.69876,0.40691,1.83599,1.74596,1.52905,2.98125e-05,2.98125e-05,2.98125e-05
57,75.5763,1.0521,1.91996,1.395,0.87471,0.41667,0.69926,0.40764,1.8331,1.75303,1.51928,2.96948e-05,2.96948e-05,2.96948e-05
58,76.9132,1.0902,1.81824,1.47042,0.87471,0.41667,0.69926,0.40764,1.8331,1.75303,1.51928,2.95535e-05,2.95535e-05,2.95535e-05
59,78.2035,0.953,0.96447,1.31178,0.87471,0.41667,0.69926,0.40764,1.8331,1.75303,1.51928,2.93887e-05,2.93887e-05,2.93887e-05
60,79.5063,1.13632,1.12667,1.59273,0.87273,0.41667,0.6985,0.40817,1.82425,1.76214,1.51516,2.92003e-05,2.92003e-05,2.92003e-05
